ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
33,BRA,,Picos (Parnaiba Basin),-4.283634,-42.99342,est,MD,EIF,393.3,372.2
36,BRA,,Maecuru River,-1.55554193,-54.37881062,est,MD,EIF,393.3,389.5667
51,CHN,,Mulatang,32.57629074,100.3692299,est,MD,EIF,,
54,CHN,,Cement Plant,20.01158346,110.2176745,est,MD,EIF,389.5667,387.7
55,CHN,,Wuding,25.79307968,102.1991184,est,MD,EIF,393.3,391.4333
56,CHN,,Qujing,25.588,103.8094,est,MD,EIF,393.3,391.4333
57,CHN,,Caojiaba,27.45959595,111.6192942,est,MD,EIF,391.4333,389.5667
71,DNK,,East Greenland,73.42223414,-23.28723508,est,MD,EIF,393.3,387.7
72,DNK,,East Greenland,73.42223414,-23.28723508,est,MD,EIF,393.3,387.7
132,ESP,,Aragon,41.07164351,-1.01655277,est,MD,EIF,393.3,387.7
147,USA,MI,Dundee limestone,,,,MD,EIF,393.3,387.7